Nodes ,AR,H,W,tau,lr
100000,0.00001,1,100000,10,0.0001
100000,0.00025,5,20000,10,0.0001
100000,0.001,10,10000,10,0.0001
100000,0.025,50,2000,10,0.0001
100000,0.1,100,1000,10,0.0001
50000,0.00002,1,50000,10,0.0001
50000,0.0005,5,10000,10,0.0001
50000,0.002,10,5000,10,0.0001
50000,0.0125,25,2000,10,0.0001
50000,0.05,50,1000,10,0.0001
10000,0.0001,1,10000,10,0.0001
10000,0.0004,2,5000,10,0.0001
10000,0.0025,5,2000,10,0.0001
10000,0.01,10,1000,10,0.0001
10000,0.0256,16,625,10,0.0001
5000,0.0002,1,5000,10,0.0001
5000,0.0008,2,2500,10,0.0001
5000,0.0032,4,1250,10,0.0001
5000,0.005,5,1000,10,0.0001
5000,0.0128,8,625,10,0.0001
100000,0.00001,1,100000,20,0.0001
